ServiceNo,Direction,StopSequence,Operator,BusStopCode,Distance,RoadName,Description,Latitude,Longitude,Category,OriginCode,DestinationCode,LoopDesc,AM_Peak_avg,AM_Offpeak_avg,PM_Peak_avg,PM_Offpeak_avg
10,1,1,SBST,75009,0.0,Tampines Ctrl 1,Tampines Int,1.35407552367477,103.94339098473914,TRUNK,75009,16009,N,8,11,12,14
10,1,2,SBST,76059,0.6,Tampines Ave 5,Opp Our Tampines Hub,1.35296163572491,103.94165154852796,TRUNK,75009,16009,N,8,11,12,14
10,1,3,SBST,76069,1.1,Tampines Ave 5,Blk 147,1.34875342114003,103.94208629087404,TRUNK,75009,16009,N,8,11,12,14
10,1,4,SBST,96289,2.3,Simei Ave,Changi General Hosp,1.34005496226354,103.94838106593956,TRUNK,75009,16009,N,8,11,12,14
10,1,5,SBST,96109,2.7,Simei Ave,Opp Blk 3012,1.33737118239889,103.95067333143491,TRUNK,75009,16009,N,8,11,12,14
10,1,6,SBST,85079,3.3,Upp Changi Rd,Flextronic,1.33394889968504,103.9501523198666,TRUNK,75009,16009,N,8,11,12,14
10,1,7,SBST,85089,3.5,Upp Changi Rd,Bef Jln Chempaka Kuning,1.33338002405472,103.94880327361744,TRUNK,75009,16009,N,8,11,12,14
10,1,8,SBST,85069,3.8,Bedok Rd,Bedok Mkt Pl,1.33172434076631,103.9474077910704,TRUNK,75009,16009,N,8,11,12,14
10,1,9,SBST,85059,4.1,Bedok Rd,Bef Jln Chempaka Kuning,1.32950222197902,103.94906611097686,TRUNK,75009,16009,N,8,11,12,14
10,1,10,SBST,85049,4.5,Bedok Rd,Opp Man Fatt Lam Tp,1.32671998700111,103.95124872703616,TRUNK,75009,16009,N,8,11,12,14
10,1,11,SBST,85039,4.8,Bedok Rd,Opp Excelsior Gdns,1.32442497435966,103.9529859426158,TRUNK,75009,16009,N,8,11,12,14
10,1,12,SBST,85029,5.0,Bedok Rd,Aft Bedok Meth Ch,1.32261805599904,103.95429972202514,TRUNK,75009,16009,N,8,11,12,14
10,1,13,SBST,85019,5.2,Bedok Rd,Eastwood Ctr,1.321288333018,103.95534472201146,TRUNK,75009,16009,N,8,11,12,14
10,1,14,SBST,94079,5.5,Upp East Coast Rd,Bedok Camp 2,1.31962000617397,103.95524325955397,TRUNK,75009,16009,N,8,11,12,14
10,1,15,SBST,94069,6.1,Upp East Coast Rd,Opp Kew Green Condo,1.31809668590525,103.95085659912792,TRUNK,75009,16009,N,8,11,12,14
10,1,16,SBST,94059,6.4,Upp East Coast Rd,Temasek Sec Sch,1.31707137658578,103.9479809249404,TRUNK,75009,16009,N,8,11,12,14
10,1,17,SBST,94049,6.8,Upp East Coast Rd,Aft Bedok Sth Ave 3,1.31616443335073,103.94482108127718,TRUNK,75009,16009,N,8,11,12,14
10,1,18,SBST,94089,7.0,Upp East Coast Rd,Calvary Ably Of God Ch,1.31536333302999,103.94294138900048,TRUNK,75009,16009,N,8,11,12,14
10,1,19,SBST,94039,7.3,Upp East Coast Rd,Opp The Summit,1.31485363967239,103.94066333773824,TRUNK,75009,16009,N,8,11,12,14
10,1,20,SBST,94029,7.7,Upp East Coast Rd,Aft Sennet Rd,1.31453305602342,103.93750499997168,TRUNK,75009,16009,N,8,11,12,14
10,1,21,SBST,94019,7.9,Upp East Coast Rd,Opp Evergreen Ave,1.3142851610342,103.93574953076752,TRUNK,75009,16009,N,8,11,12,14
10,1,22,SBST,93099,8.3,Upp East Coast Rd,Siglap Sth CC,1.31390444400831,103.93171138898548,TRUNK,75009,16009,N,8,11,12,14
10,1,23,SBST,93089,8.8,Upp East Coast Rd,Opp Goodwill Ct,1.31295810131062,103.92790605020116,TRUNK,75009,16009,N,8,11,12,14
10,1,24,SBST,93079,9.1,East Coast Rd,Opp Springvale,1.31250502315071,103.9250247698478,TRUNK,75009,16009,N,8,11,12,14
10,1,25,SBST,93069,9.4,East Coast Rd,Aft Siglap Rd,1.31168943552207,103.92240015622043,TRUNK,75009,16009,N,8,11,12,14
10,1,26,SBST,93059,9.8,East Coast Rd,Aft Jln Buloh Perindu,1.31076138897412,103.91930777802244,TRUNK,75009,16009,N,8,11,12,14
10,1,27,SBST,92159,10.1,East Coast Rd,ST. PATRICK'S SCH,1.30976333301363,103.91655777798783,TRUNK,75009,16009,N,8,11,12,14
10,1,28,SBST,92149,10.4,East Coast Rd,St. Patrick's Green,1.30928064742874,103.91434517290192,TRUNK,75009,16009,N,8,11,12,14
10,1,29,SBST,92139,10.7,East Coast Rd,Opp Katong Omega Apt,1.30853972762017,103.91062932209373,TRUNK,75009,16009,N,8,11,12,14
10,1,30,SBST,92129,11.2,East Coast Rd,The Holy Family Ch,1.30686400495083,103.90646134135643,TRUNK,75009,16009,N,8,11,12,14
10,1,31,SBST,92119,11.7,East Coast Rd,Roxy Sq,1.30444500073,103.90277451423108,TRUNK,75009,16009,N,8,11,12,14
10,1,32,SBST,92109,11.9,Mountbatten Rd,Opp Katong Shop Ctr,1.30356602776936,103.9014561477864,TRUNK,75009,16009,N,8,11,12,14
10,1,33,SBST,92099,12.2,Mountbatten Rd,One Amber,1.3023783312326,103.89900426571224,TRUNK,75009,16009,N,8,11,12,14
10,1,34,SBST,92161,12.7,Tg Katong Rd,Aft Katong PO,1.30380001918907,103.89656923070308,TRUNK,75009,16009,N,8,11,12,14
10,1,35,SBST,82071,13.1,Tg Katong Rd,Opp Tg Katong Girls' Sch,1.30725334418948,103.89541128171984,TRUNK,75009,16009,N,8,11,12,14
10,1,36,SBST,81199,13.9,Dunman Rd,BEF OLD AIRPORT RD,1.30862937328019,103.8906311270188,TRUNK,75009,16009,N,8,11,12,14
10,1,37,SBST,81189,14.2,Old Airport Rd,Dakota Stn Exit B/Blk 60,1.30821308595952,103.88850877408412,TRUNK,75009,16009,N,8,11,12,14
10,1,38,SBST,81179,14.7,Old Airport Rd,Blk 22,1.30726086825664,103.88490711001796,TRUNK,75009,16009,N,8,11,12,14
10,1,39,SBST,80141,15.3,Mountbatten Rd,Opp S.A. Deaf,1.30711835522323,103.87989373246153,TRUNK,75009,16009,N,8,11,12,14
10,1,40,SBST,80219,16.0,Nicoll Highway,Natl Stadium,1.30674381370885,103.875264139574,TRUNK,75009,16009,N,8,11,12,14
10,1,41,SBST,80169,17.4,Nicoll Highway,Nicoll Highway Stn,1.30070547633658,103.86336013257063,TRUNK,75009,16009,N,8,11,12,14
10,1,42,SBST,80159,18.1,Nicoll Highway,Suntec City,1.295962316986,103.8579517489622,TRUNK,75009,16009,N,8,11,12,14
10,1,43,SBST,2119,18.6,Nicoll Highway,Opp War Memorial Pk,1.29184407356581,103.85534334305083,TRUNK,75009,16009,N,8,11,12,14
10,1,44,SBST,3019,19.6,Collyer Quay,OUE Bayfront,1.284245000013,103.853108055996,TRUNK,75009,16009,N,8,11,12,14
10,1,45,SBST,3059,19.9,Raffles Quay,One Raffles Quay,1.28097649556002,103.85135652579493,TRUNK,75009,16009,N,8,11,12,14
10,1,46,SBST,3129,20.3,Shenton Way,UIC Bldg,1.27807003532092,103.84956718123824,TRUNK,75009,16009,N,8,11,12,14
10,1,47,SBST,3217,20.7,Shenton Way,Opp AXA Twr,1.27552218897645,103.8479443674916,TRUNK,75009,16009,N,8,11,12,14
10,1,48,SBST,5649,21.6,Keppel Rd,Opp Customs Port Br HQ,1.2723842122117,103.84093912218094,TRUNK,75009,16009,N,8,11,12,14
10,1,49,SBST,14061,21.9,Keppel Rd,Opp Former Railway Stn,1.27231269789239,103.83862035734884,TRUNK,75009,16009,N,8,11,12,14
10,1,50,SBST,14071,22.4,Keppel Rd,Keppel Workshop,1.27220342411953,103.8339025862589,TRUNK,75009,16009,N,8,11,12,14
10,1,51,SBST,14081,22.8,Keppel Rd,Tg Pagar DP Blk F5,1.270896111,103.8308919,TRUNK,75009,16009,N,8,11,12,14
10,1,52,SBST,14101,23.2,Keppel Rd,Opp Keppel DP Blk 517,1.26837500002503,103.82825805600972,TRUNK,75009,16009,N,8,11,12,14
10,1,53,SBST,14141,24.0,Telok Blangah Rd,VivoCity,1.26552421466644,103.82211326846236,TRUNK,75009,16009,N,8,11,12,14
10,1,54,SBST,14121,24.3,Telok Blangah Rd,Harbourfront Stn Exit B,1.26591350024271,103.8192566062178,TRUNK,75009,16009,N,8,11,12,14
10,1,55,SBST,14131,24.7,Telok Blangah Rd,Caribbean at Keppel Bay,1.26740130257465,103.81675441150335,TRUNK,75009,16009,N,8,11,12,14
10,1,56,SBST,14151,25.2,Telok Blangah Rd,Opp Chr Community Chapel,1.26964765905364,103.8129359412343,TRUNK,75009,16009,N,8,11,12,14
10,1,57,SBST,14161,25.6,Telok Blangah Rd,Telok Blangah Stn,1.27075866533548,103.81009913005327,TRUNK,75009,16009,N,8,11,12,14
10,1,58,SBST,14171,26.0,Telok Blangah Rd,Opp Yeo's Bldg,1.27145959833005,103.80654857059398,TRUNK,75009,16009,N,8,11,12,14
10,1,59,SBST,15141,26.7,Pasir Panjang Rd,Labrador Pk Stn,1.27275860463579,103.80095947823813,TRUNK,75009,16009,N,8,11,12,14
10,1,60,SBST,15151,27.0,Pasir Panjang Rd,Opp Mapletree Biz City,1.27389192906939,103.7982220898242,TRUNK,75009,16009,N,8,11,12,14
10,1,61,SBST,15161,27.2,Pasir Panjang Rd,Pasir Panjang Ctr,1.27443806198132,103.79666055940478,TRUNK,75009,16009,N,8,11,12,14
10,1,62,SBST,15191,27.7,Pasir Panjang Rd,Pasir Panjang Stn/Fc,1.27581227029734,103.7926357125798,TRUNK,75009,16009,N,8,11,12,14
10,1,63,SBST,15201,28.0,Pasir Panjang Rd,Aft Pasir Panjang Stn,1.27680819120105,103.78970861437152,TRUNK,75009,16009,N,8,11,12,14
10,1,64,SBST,15221,28.6,Pasir Panjang Rd,Aft Sth Buona Vista Rd,1.27949923466491,103.78548955401584,TRUNK,75009,16009,N,8,11,12,14
10,1,65,SBST,16201,28.9,Pasir Panjang Rd,Barossa Gdns,1.28130063164133,103.78410758834184,TRUNK,75009,16009,N,8,11,12,14
10,1,66,SBST,16011,29.2,Pasir Panjang Rd,Opp Haw Par Villa Stn,1.28277766355314,103.78186930413445,TRUNK,75009,16009,N,8,11,12,14
10,1,67,SBST,16021,29.7,Pasir Panjang Rd,Opp Gloria Man,1.28625793147796,103.779810276938,TRUNK,75009,16009,N,8,11,12,14
10,1,68,SBST,16031,30.0,Pasir Panjang Rd,Opp S'pore Science Pk II,1.28800629048399,103.77846479413628,TRUNK,75009,16009,N,8,11,12,14
10,1,69,SBST,16041,30.2,Pasir Panjang Rd,OPP LUXE VILLE,1.2893086506189,103.77660095143266,TRUNK,75009,16009,N,8,11,12,14
10,1,70,SBST,16051,30.5,Pasir Panjang Rd,The Crystal Tabernacle Ch,1.29014861601908,103.77426036615236,TRUNK,75009,16009,N,8,11,12,14
10,1,71,SBST,16061,30.7,Pasir Panjang Rd,Opp Heng Mui Keng Terr,1.29046257201356,103.77356171611028,TRUNK,75009,16009,N,8,11,12,14
10,1,72,SBST,16071,30.9,Pasir Panjang Rd,Opp Pasir Panjang PO,1.29129940835907,103.77117221155989,TRUNK,75009,16009,N,8,11,12,14
10,1,73,SBST,16081,31.2,Pasir Panjang Rd,Aft Palm Green Condo,1.29195777797363,103.76866138900289,TRUNK,75009,16009,N,8,11,12,14
10,1,74,SBST,16009,31.7,Clementi Rd,Kent Ridge Ter,1.29425341056334,103.76988323197696,TRUNK,75009,16009,N,8,11,12,14
10,2,1,SBST,16009,0.0,Clementi Rd,Kent Ridge Ter,1.29425341056334,103.76988323197696,TRUNK,16009,75009,N,10,13,11,16
10,2,2,SBST,16089,0.4,Pasir Panjang Rd,Aft Clementi Rd,1.29201138346787,103.7690842071612,TRUNK,16009,75009,N,10,13,11,16
10,2,3,SBST,16079,0.7,Pasir Panjang Rd,Bef Pasir Panjang PO,1.29138264862382,103.77129836184209,TRUNK,16009,75009,N,10,13,11,16
10,2,4,SBST,16069,1.0,Pasir Panjang Rd,Heng Mui Keng Terr,1.29082972200391,103.7731166669843,TRUNK,16009,75009,N,10,13,11,16
10,2,5,SBST,16059,1.3,Pasir Panjang Rd,Jamiyah Halfway Hse,1.28967266173408,103.77594136139504,TRUNK,16009,75009,N,10,13,11,16
10,2,6,SBST,16049,1.5,Pasir Panjang Rd,WHITEHAVEN,1.28910696351866,103.77738952047318,TRUNK,16009,75009,N,10,13,11,16
10,2,7,SBST,16039,1.7,Pasir Panjang Rd,S'pore Science Pk II,1.28799020188116,103.77872029260048,TRUNK,16009,75009,N,10,13,11,16
10,2,8,SBST,16029,2.0,Pasir Panjang Rd,Gloria Man,1.28608472200879,103.78022138902948,TRUNK,16009,75009,N,10,13,11,16
10,2,9,SBST,16019,2.5,Pasir Panjang Rd,Haw Par Villa Stn,1.28278078585184,103.78217614858188,TRUNK,16009,75009,N,10,13,11,16
10,2,10,SBST,16209,2.7,Pasir Panjang Rd,HORIZON RESIDENCES,1.28159092769912,103.78400650244838,TRUNK,16009,75009,N,10,13,11,16
10,2,11,SBST,15229,3.0,Pasir Panjang Rd,Bef Sth Buona Vista Rd,1.27937638961898,103.78572727156028,TRUNK,16009,75009,N,10,13,11,16
10,2,12,SBST,15219,3.2,Pasir Panjang Rd,Pasir View Pk,1.27818114088895,103.7870103120688,TRUNK,16009,75009,N,10,13,11,16
10,2,13,SBST,15209,3.6,Pasir Panjang Rd,Bef Pasir Panjang Stn,1.27706561928684,103.79023432729964,TRUNK,16009,75009,N,10,13,11,16
10,2,14,SBST,15199,3.9,Pasir Panjang Rd,Opp Currency Hse,1.27604240853686,103.79318399639808,TRUNK,16009,75009,N,10,13,11,16
10,2,15,SBST,15169,4.4,Pasir Panjang Rd,Harbourside Ind Bldg 2,1.27481499269165,103.79673994290197,TRUNK,16009,75009,N,10,13,11,16
10,2,16,SBST,15159,4.6,Pasir Panjang Rd,Mapletree Business City,1.27426303773784,103.79839350407596,TRUNK,16009,75009,N,10,13,11,16
10,2,17,SBST,15149,4.9,Pasir Panjang Rd,Labrador Pk Stn/PSA Bldg,1.27341871854745,103.80055546758588,TRUNK,16009,75009,N,10,13,11,16
10,2,18,SBST,14189,5.3,Telok Blangah Rd,Aft Alexandra Rd,1.27269303340787,103.80398363214624,TRUNK,16009,75009,N,10,13,11,16
10,2,19,SBST,14179,5.6,Telok Blangah Rd,Yeo's Bldg,1.27188454577735,103.80630000533796,TRUNK,16009,75009,N,10,13,11,16
10,2,20,SBST,14169,6.0,Telok Blangah Rd,Opp Telok Blangah Stn,1.27118550385957,103.80941810434496,TRUNK,16009,75009,N,10,13,11,16
10,2,21,SBST,14159,6.5,Telok Blangah Rd,Bef Chr Community Chapel,1.26994046445496,103.81315419081788,TRUNK,16009,75009,N,10,13,11,16
10,2,22,SBST,14139,6.9,Telok Blangah Rd,Bef Seah Im Rd,1.2686352773503,103.81546952380808,TRUNK,16009,75009,N,10,13,11,16
10,2,23,SBST,14129,7.4,Telok Blangah Rd,Harbourfront Stn Exit A,1.26607869101924,103.81977877391114,TRUNK,16009,75009,N,10,13,11,16
