distance,express_adult,express_senior_citizen,express_student,express_workfare,express_disability,trunk_adult,trunk_senior_citizen,trunk_student,trunk_workfare,trunk_disability,feeder_adult,feeder_senior_citizen,feeder_student,feeder_workfare,feeder_disability
Up to 3.2 km,159,106,74,120,106,99,61,44,70,61,99,61,44,70,61
3.3 km - 4.2 km,169,113,79,128,113,109,68,49,78,68,99,61,44,70,61
4.3 km - 5.2 km,179,120,84,136,120,119,75,54,86,75,99,61,44,70,61
5.3 km - 6.2 km,189,127,89,144,127,129,82,59,94,82,99,61,44,70,61
6.3 km - 7.2 km,198,133,92,151,133,138,88,62,101,88,99,61,44,70,61
7.3 km - 8.2 km,205,139,95,157,139,145,94,65,107,94,99,61,44,70,61
8.3 km - 9.2 km,212,139,95,163,139,152,94,65,113,94,99,61,44,70,61
9.3 km - 10.2 km,216,139,95,166,139,156,94,65,116,94,99,61,44,70,61
10.3 km - 11.2 km,220,139,95,169,139,160,94,65,119,94,99,61,44,70,61
11.3 km - 12.2 km,224,139,95,172,139,164,94,65,122,94,99,61,44,70,61
12.3 km - 13.2 km,228,139,95,175,139,168,94,65,125,94,99,61,44,70,61
13.3 km - 14.2 km,232,139,95,178,139,172,94,65,128,94,99,61,44,70,61
14.3 km - 15.2 km,237,139,95,181,139,177,94,65,131,94,99,61,44,70,61
15.3 km - 16.2 km,241,139,95,184,139,181,94,65,134,94,99,61,44,70,61
16.3 km - 17.2 km,245,139,95,187,139,185,94,65,137,94,99,61,44,70,61
17.3 km - 18.2 km,249,139,95,190,139,189,94,65,140,94,99,61,44,70,61
18.3 km - 19.2 km,253,139,95,193,139,193,94,65,143,94,99,61,44,70,61
19.3 km - 20.2 km,256,139,95,196,139,196,94,65,146,94,99,61,44,70,61
20.3 km - 21.2 km,259,139,95,199,139,199,94,65,149,94,99,61,44,70,61
21.3 km - 22.2 km,262,139,95,202,139,202,94,65,152,94,99,61,44,70,61
22.3 km - 23.2 km,265,139,95,205,139,205,94,65,155,94,99,61,44,70,61
23.3 km - 24.2 km,267,139,95,207,139,207,94,65,157,94,99,61,44,70,61
24.3 km - 25.2 km,269,139,95,208,139,209,94,65,158,94,99,61,44,70,61
25.3 km - 26.2 km,271,139,95,209,139,211,94,65,159,94,99,61,44,70,61
26.3 km - 27.2 km,272,139,95,210,139,212,94,65,160,94,99,61,44,70,61
27.3 km - 28.2 km,273,139,95,211,139,213,94,65,161,94,99,61,44,70,61
28.3 km - 29.2 km,274,139,95,212,139,214,94,65,162,94,99,61,44,70,61
29.3 km - 30.2 km,275,139,95,213,139,215,94,65,163,94,99,61,44,70,61
30.3 km - 31.2 km,276,139,95,214,139,216,94,65,164,94,99,61,44,70,61
31.3 km - 32.2 km,277,139,95,215,139,217,94,65,165,94,99,61,44,70,61
32.3 km - 33.2 km,278,139,95,216,139,218,94,65,166,94,99,61,44,70,61
33.3 km - 34.2 km,279,139,95,217,139,219,94,65,167,94,99,61,44,70,61
34.3 km - 35.2 km,280,139,95,218,139,220,94,65,168,94,99,61,44,70,61
35.3 km - 36.2 km,281,139,95,219,139,221,94,65,169,94,99,61,44,70,61
36.3 km - 37.2 km,282,139,95,220,139,222,94,65,170,94,99,61,44,70,61
37.3 km - 38.2 km,283,139,95,221,139,223,94,65,171,94,99,61,44,70,61
38.3 km - 39.2 km,284,139,95,222,139,224,94,65,172,94,99,61,44,70,61
39.3 km - 40.2 km,285,139,95,223,139,225,94,65,173,94,99,61,44,70,61
Over 40.2 km,286,139,95,224,139,226,94,65,174,94,99,61,44,70,61
