distance,cash_fare_per_ride,adult_card_fare_per_ride,senior_citizen_card_fare_per_ride,student_card_fare_per_ride,workfare_transport_concession_card_fare_per_ride,persons_with_disabilities_card_fare_per_ride
Up to 3.2 km,250,159,106,74,120,106
3.3 km - 4.2 km,250,169,113,79,128,113
4.3 km - 5.2 km,250,179,120,84,136,120
5.3 km - 6.2 km,250,189,127,89,144,127
6.3 km - 7.2 km,250,198,133,92,151,133
7.3 km - 8.2 km,250,205,139,95,157,139
8.3 km - 9.2 km,265,212,139,95,163,139
9.3 km - 10.2 km,265,216,139,95,166,139
10.3 km - 11.2 km,265,220,139,95,169,139
11.3 km - 12.2 km,280,224,139,95,172,139
12.3 km - 13.2 km,280,228,139,95,175,139
13.3 km - 14.2 km,280,232,139,95,178,139
14.3 km - 15.2 km,280,237,139,95,181,139
15.3 km - 16.2 km,295,241,139,95,184,139
16.3 km - 17.2 km,295,245,139,95,187,139
17.3 km - 18.2 km,295,249,139,95,190,139
18.3 km - 19.2 km,295,253,139,95,193,139
19.3 km - 20.2 km,310,256,139,95,196,139
20.3 km - 21.2 km,310,259,139,95,199,139
21.3 km - 22.2 km,310,262,139,95,202,139
22.3 km - 23.2 km,310,265,139,95,205,139
23.3 km - 24.2 km,330,267,139,95,207,139
24.3 km - 25.2 km,330,269,139,95,208,139
25.3 km - 26.2 km,330,271,139,95,209,139
26.3 km - 27.2 km,330,272,139,95,210,139
27.3 km - 28.2 km,330,273,139,95,211,139
28.3 km - 29.2 km,330,274,139,95,212,139
29.3 km - 30.2 km,330,275,139,95,213,139
30.3 km - 31.2 km,330,276,139,95,214,139
31.3 km - 32.2 km,330,277,139,95,215,139
32.3 km - 33.2 km,330,278,139,95,216,139
33.3 km - 34.2 km,330,279,139,95,217,139
34.3 km - 35.2 km,330,280,139,95,218,139
35.3 km - 36.2 km,330,281,139,95,219,139
36.3 km - 37.2 km,330,282,139,95,220,139
37.3 km - 38.2 km,330,283,139,95,221,139
38.3 km - 39.2 km,330,284,139,95,222,139
39.3 km - 40.2 km,330,285,139,95,223,139
Over 40.2 km,330,286,139,95,224,139
