distance,adult_card_fare_per_ride,adult_cash_fare_per_ride,senior_citizen_card_fare_per_ride,senior_citizen_cash_fare_per_ride,student_card_fare_per_ride,student_cash_fare_per_ride,workfare_transport_concession_card_fare_per_ride,workfare_transport_concession_cash_fare_per_ride,persons_with_disabilities_card_fare_per_ride,persons_with_disabilities_cash_fare_per_ride
Up to 3.2 km,99,170,61,120,44,85,70,170,61,120
3.3 km - 4.2 km,109,190,68,120,49,85,78,190,68,120
4.3 km - 5.2 km,119,190,75,120,54,85,86,190,75,120
5.3 km - 6.2 km,129,190,82,120,59,85,94,190,82,120
6.3 km - 7.2 km,138,210,88,150,62,105,101,210,88,150
7.3 km - 8.2 km,145,210,94,150,65,105,107,210,94,150
8.3 km - 9.2 km,152,210,94,150,65,105,113,210,94,150
9.3 km - 10.2 km,156,230,94,150,65,105,116,230,94,150
10.3 km - 11.2 km,160,230,94,150,65,105,119,230,94,150
11.3 km - 12.2 km,164,250,94,150,65,105,122,250,94,150
12.3 km - 13.2 km,168,250,94,150,65,105,125,250,94,150
13.3 km - 14.2 km,172,250,94,150,65,105,128,250,94,150
14.3 km - 15.2 km,177,250,94,150,65,105,131,250,94,150
15.3 km - 16.2 km,181,260,94,150,65,105,134,260,94,150
16.3 km - 17.2 km,185,260,94,150,65,105,137,260,94,150
17.3 km - 18.2 km,189,260,94,150,65,105,140,260,94,150
18.3 km - 19.2 km,193,260,94,150,65,105,143,260,94,150
19.3 km - 20.2 km,196,270,94,150,65,105,146,270,94,150
20.3 km - 21.2 km,199,270,94,150,65,105,149,270,94,150
21.3 km - 22.2 km,202,270,94,150,65,105,152,270,94,150
22.3 km - 23.2 km,205,270,94,150,65,105,155,270,94,150
23.3 km - 24.2 km,207,280,94,150,65,105,157,280,94,150
24.3 km - 25.2 km,209,280,94,150,65,105,158,280,94,150
25.3 km - 26.2 km,211,280,94,150,65,105,159,280,94,150
26.3 km - 27.2 km,212,280,94,150,65,105,160,280,94,150
27.3 km - 28.2 km,213,280,94,150,65,105,161,280,94,150
28.3 km - 29.2 km,214,280,94,150,65,105,162,280,94,150
29.3 km - 30.2 km,215,280,94,150,65,105,163,280,94,150
30.3 km - 31.2 km,216,280,94,150,65,105,164,280,94,150
31.3 km - 32.2 km,217,280,94,150,65,105,165,280,94,150
32.3 km - 33.2 km,218,280,94,150,65,105,166,280,94,150
33.3 km - 34.2 km,219,280,94,150,65,105,167,280,94,150
34.3 km - 35.2 km,220,280,94,150,65,105,168,280,94,150
35.3 km - 36.2 km,221,280,94,150,65,105,169,280,94,150
36.3 km - 37.2 km,222,280,94,150,65,105,170,280,94,150
37.3 km - 38.2 km,223,280,94,150,65,105,171,280,94,150
38.3 km - 39.2 km,224,280,94,150,65,105,172,280,94,150
39.3 km - 40.2 km,225,280,94,150,65,105,173,280,94,150
Over 40.2 km,226,280,94,150,65,105,174,280,94,150
